disease,symptoms
Osteoporosis,"back pain from fractured vertebra, loss of height over time, stooped posture, fracture from minor falls, reduced grip strength, bone pain and tenderness"
Osteoarthritis,"joint pain worsened by activity, morning stiffness, swelling around joints, bone spurs, reduced range of motion, grating sensation in joint, tenderness on pressing, joint instability"
Obesity,"excess body fat, BMI over 30, difficulty with physical activity, breathlessness, increased sweating, joint pain, low self-esteem, sleep apnea, high blood pressure"
Otitis media,"ear pain, difficulty hearing, fluid draining from ear, fever, feeling of fullness in ear, balance problems, fussiness in children, hearing loss, ringing in ears"
Ovarian cysts,"pelvic pain or pressure, bloating, abdominal swelling, painful bowel movements, pain during intercourse, irregular periods, frequent urination, nausea if rupture"
Oral thrush,"white creamy patches on tongue and inner cheeks, redness or soreness, difficulty swallowing, loss of taste, cotton-like feeling in mouth, cracking at corners of mouth"
Obsessive-compulsive disorder,"intrusive unwanted thoughts, repetitive compulsive behaviors, excessive hand washing, checking locks repeatedly, counting or arranging rituals, fear of contamination, significant distress, time-consuming rituals, avoidance behaviors"
Optic neuritis,"eye pain especially with eye movement, sudden vision loss, blurred vision, loss of color vision, flashes of light, vision loss typically in one eye, visual field defects"
Onychomycosis,"thickened nails, yellow or brown nail discoloration, brittle nails, nail separating from nail bed, buildup under nail, distorted nail shape, odor, crumbling nail edges"
Osgood-Schlatter disease,"knee pain and swelling just below kneecap, pain worsened by running jumping or climbing stairs, tender bump below kneecap, limping, tight thigh muscles, pain during exercise"
Pneumonia,"productive cough with phlegm, high fever, chills, shortness of breath, chest pain when breathing or coughing, fatigue, nausea, vomiting, confusion in elderly"
Psoriasis,"raised red patches with thick silvery scales, dry cracked skin that may bleed, itching or burning, thickened pitted nails, joint swelling and stiffness, plaques on elbows knees and scalp"
Parkinson's disease,"resting pill-rolling tremor, muscle rigidity, slowness of movement, postural instability, shuffling gait, masked facial expression, small handwriting, soft speech, loss of smell, sleep disturbances"
Pancreatitis,"severe upper abdominal pain radiating to back, pain worsened by eating, nausea, vomiting, fever, rapid pulse, abdomen tender to touch, abdominal bloating, oily stools in chronic form"
Peptic ulcer,"burning or gnawing stomach pain between meals and at night, bloating, nausea, dark or tarry stools, vomiting blood, weight loss, pain relieved by eating then returns, heartburn"
Polio,"fever, sore throat, headache, fatigue, nausea, vomiting, meningitis symptoms, asymmetric paralysis, muscle weakness, difficulty swallowing or breathing in severe cases"
Pink eye,"red or pink discoloration of eye, itching, discharge that crusts overnight, tearing, light sensitivity, gritty feeling in eye, swollen eyelids, blurred vision"
Polycystic ovary syndrome,"irregular or absent periods, excess body hair, acne, weight gain, thinning scalp hair, darkened skin in body folds, ovarian cysts, difficulty conceiving, mood changes"
Peripheral artery disease,"leg pain during walking (claudication), leg numbness or weakness, coldness in lower leg or foot, sores on feet that won't heal, change in leg color, weak or absent pulse in legs, erectile dysfunction"
Pulmonary embolism,"sudden shortness of breath, chest pain worsening on deep breath, rapid heart rate, coughing up blood, lightheadedness, fainting, leg swelling and pain, excessive sweating, low blood pressure"
Q fever,"high fever, severe headache, muscle pain, chills, fatigue, cough, chest pain, nausea, vomiting, pneumonia, hepatitis in some cases"
Quadriplegia,"paralysis of all four limbs, loss of sensation below injury, breathing difficulties, bladder and bowel dysfunction, blood pressure instability, pressure sores, muscle spasticity"
Quinsy,"severe sore throat, difficulty swallowing, muffled voice, fever, drooling, trismus (difficulty opening mouth), unilateral throat swelling, bad breath, ear pain on same side"
Quick's disease,"easy bruising, prolonged bleeding from cuts, spontaneous nosebleeds, bleeding gums, heavy menstrual periods, blood in urine or stools, coagulation disorder"
Queensland tick typhus,"fever, headache, rash, muscle pain, tick bite eschar, swollen lymph nodes near bite, fatigue, photophobia, caused by Rickettsia australis"
Quincke's edema,"rapid onset swelling under skin especially face lips and throat, hives, itching, swelling of tongue, difficulty breathing if severe, can be life-threatening"
Qatar fever,"fever, cough, chest pain, headache, myalgia, fatigue, pneumonia, respiratory distress, similar to Q fever, systemic infection"
Quartan malaria,"cyclical fever every 72 hours, chills, sweating, headache, muscle aches, nausea, anemia, enlarged spleen, fatigue, caused by Plasmodium malariae"
Quervain's tenosynovitis,"wrist pain on thumb side, swelling over wrist and thumb base, difficulty pinching or gripping, pain when moving thumb or wrist, catching sensation"
Quinine toxicity,"nausea, vomiting, ringing in ears (tinnitus), visual disturbances, headache, dizziness, confusion, cardiac arrhythmias, low blood sugar"
Rheumatoid arthritis,"symmetrical joint pain and swelling, morning stiffness over an hour, warm red joints, fatigue, low-grade fever, loss of appetite, nodules under skin, joint deformity over time, anemia"
Rosacea,"facial redness especially on cheeks and nose, visible blood vessels, pimple-like bumps, skin thickening on nose, eye irritation, flushing from heat or spicy food, burning sensation"
Rubella,"mild fever, fine pink rash starting on face spreading to body, swollen lymph nodes behind ears, joint pain especially in adults, headache, runny nose, red eyes"
Rabies,"initial fever, headache, malaise, prickling at bite site, then agitation, hydrophobia, aerophobia, delirium, excessive salivation, paralysis in late stage, coma"
Rotavirus,"severe watery diarrhea, vomiting, fever, abdominal pain, dehydration, irritability in children, loss of appetite, symptoms lasting 3-8 days, most severe in infants"
Ringworm,"circular scaly patch on skin, itchy rash with raised edges, central clearing, redness, blisters at edges, scalp involvement causing patchy hair loss, contagious"
RSV infection,"runny nose, cough worsening over days, sneezing, fever, wheezing, decreased appetite, difficulty breathing in severe cases, bluish skin in severe infant cases"
Restless legs syndrome,"uncomfortable urge to move legs usually at night, creeping or crawling sensations, symptoms worse at rest, partial relief with movement, sleep disruption, involuntary leg jerking during sleep"
Raynaud's phenomenon,"fingers and toes turn white then blue then red in cold or stress, numbness and tingling, pain upon rewarming, color changes in response to temperature, skin sores in severe cases"
Rickets,"bone pain and tenderness, soft and weak bones, skeletal deformities including bowed legs, growth disturbances, muscle weakness, dental problems, delayed development"
Sinusitis,"facial pain or pressure around cheeks and eyes, nasal congestion, thick colored nasal discharge, reduced sense of smell, headache, toothache, cough, bad breath, fever"
Shingles,"pain burning or tingling in a stripe on one side, followed by red rash, blistering, sensitivity to touch, itching, fever, headache, fatigue, pain preceding rash by days"
Stroke,"sudden facial drooping, arm weakness especially one side, slurred or absent speech, sudden severe headache, sudden vision problems, sudden dizziness, loss of balance, confusion"
Scoliosis,"uneven shoulders, one shoulder blade more prominent, uneven waist, one hip higher than other, leaning to one side, back pain in adults, rib cage protrusion on one side"
Sarcoidosis,"persistent cough, shortness of breath, fatigue, swollen lymph nodes, red bumps or lesions on skin, joint pain, fever, weight loss, eye inflammation, irregular heartbeat"
Sepsis,"high or very low temperature, rapid heart rate, rapid breathing, altered mental status, extreme pain, clammy or sweaty skin, decreased urine output, organ dysfunction signs"
Sickle cell anemia,"episodes of severe pain (pain crises), anemia, fatigue, swelling in hands and feet, frequent infections, delayed growth, vision problems, jaundice, stroke risk"
Sleep apnea,"loud snoring, gasping or choking during sleep, excessive daytime sleepiness, morning headache, dry mouth or sore throat on waking, difficulty concentrating, irritability, frequent night waking"
Strep throat,"sudden severe sore throat, painful swallowing, fever above 38°C, swollen tender lymph nodes, red swollen tonsils with white patches, no cough, headache, rash in scarlet fever"
Syphilis,"painless round sore (chancre) at infection site, swollen lymph nodes, rash on palms and soles in secondary stage, flu-like symptoms, joint pain, systemic involvement in tertiary"
Tuberculosis,"persistent cough lasting 3+ weeks, coughing up blood or phlegm, chest pain, unintentional weight loss, fever, night sweats, fatigue, chills, loss of appetite, lymph node enlargement"
Tetanus,"jaw cramping and lockjaw, sudden painful muscle spasms, stiff neck, difficulty swallowing, fever, sweating, rapid heart rate, blood pressure fluctuations"
Thyroid disorder,"fatigue, weight changes, mood swings, temperature sensitivity, hair loss, heart rate changes, bowel habit changes, skin changes, anxiety or depression, muscle weakness"
Tinnitus,"persistent ringing in ears, buzzing or hissing sound, clicking or roaring, affects one or both ears, varies in pitch and volume, worsened by silence or noise, associated hearing loss"
Tonsillitis,"very sore throat, red and swollen tonsils, white or yellow coating on tonsils, difficult painful swallowing, fever, swollen lymph nodes, bad breath, headache"
Tourette syndrome,"involuntary motor tics such as eye blinking, facial grimacing, head jerking, vocal tics such as throat clearing or sniffing, tics wax and wane, worsened by stress, urge before tic"
Trigeminal neuralgia,"sudden excruciating facial pain like electric shock, pain triggered by touching face or chewing or speaking, pain lasting seconds to minutes, pain along jaw cheek or forehead on one side"
Tendinitis,"pain near a tendon, tendon tenderness to touch, mild swelling, pain worsened with movement, dull aching pain at rest, stiffness, limited range of motion"
Thalassemia,"fatigue, weakness, pale or yellowish skin, facial bone deformities, slow growth, enlarged spleen, dark urine, shortness of breath, susceptibility to infections"
Toxic shock syndrome,"sudden high fever, low blood pressure, rash resembling sunburn on palms and soles, vomiting, diarrhea, confusion, muscle aches, organ failure in severe cases"
Ulcerative colitis,"diarrhea with blood or pus, abdominal pain and cramping, rectal pain, urgency to defecate, inability to defecate despite urgency, weight loss, fatigue, fever, anemia"
Urinary tract infection,"burning sensation during urination, frequent urge to urinate, passing small amounts, cloudy urine, strong-smelling urine, blood in urine, pelvic pain, lower back pain, fever if kidney involved"
Uveitis,"eye redness, eye pain, light sensitivity, blurred vision, dark floating spots, decreased vision, eye aching, colored halos around lights, tearing"
Uremia,"fatigue, nausea, decreased urine output, confusion, swelling, itching, muscle cramps, anemia, pale skin, uremic frost on skin in severe cases"
Urticaria,"itchy raised welts on skin, redness, swelling, burning or stinging, welts that change shape and migrate, triggered by allergens or stress, blanching when pressed"
Ulnar neuropathy,"numbness in ring and little fingers, tingling in little finger, hand weakness in grip, difficulty with fine motor tasks, claw hand deformity if severe, wasting of hand muscles, cubital tunnel pain"
Undulant fever,"intermittent fever, sweating, headache, joint and muscle pain, weakness, fatigue, enlarged lymph nodes and spleen, brucellosis caused by animal exposure"
Usher syndrome,"hearing loss from birth, progressive vision loss (retinitis pigmentosa), balance problems, night blindness, tunnel vision, combined deaf-blindness in later stages"
Uterine fibroids,"heavy or prolonged menstrual bleeding, pelvic pressure or pain, frequent urination, constipation, back or leg pain, enlarged abdomen, pain during intercourse"
Urethritis,"burning during urination, urethral discharge, frequent urge to urinate, pelvic pain, swollen or tender urethra, blood in urine, pain during intercourse"
Varicose veins,"bulging twisted veins visible under skin, aching or heavy feeling in legs, burning or throbbing in legs, muscle cramping, ankle and lower leg swelling, itching around veins, skin discoloration"
Vitiligo,"patches of skin losing pigment, white patches spreading unpredictably, premature graying of hair, loss of color in mucous membranes, patches around body orifices, asymmetric or symmetric"
Vertigo,"spinning or rocking dizziness, loss of balance, nausea, vomiting, abnormal eye movements, tinnitus, ear fullness, headache, sweating, worsened by head movements"
Vasculitis,"fatigue, fever, general aches and pains, unintentional weight loss, skin rash or lesions, night sweats, nerve problems causing numbness, organ involvement symptoms"
Viral gastroenteritis,"watery diarrhea, nausea, vomiting, stomach cramps and pain, muscle aches, headache, low-grade fever, dehydration, loss of appetite"
Vaginitis,"vaginal discharge, itching, burning, painful intercourse, vaginal odor, redness and swelling of vulva, light spotting, discomfort during urination"
Von Willebrand disease,"prolonged or heavy bleeding from cuts, easy bruising, nosebleeds hard to stop, heavy menstrual periods, bleeding after dental work, joint or muscle bleeding"
Vulvodynia,"chronic vulvar pain, burning, stinging, rawness, tenderness, pain during intercourse, pain when sitting or wearing tight clothing, no visible cause on exam"
Ventricular fibrillation,"sudden collapse, loss of consciousness, no detectable pulse, no normal breathing, sudden cardiac arrest, death within minutes if untreated"
Vestibular neuritis,"sudden severe vertigo, nausea, vomiting, difficulty standing or walking, balance problems, head movement worsens symptoms, no hearing loss typically, gradual recovery"
Whooping cough,"severe coughing fits, distinctive whooping sound when inhaling after cough, vomiting after coughing, exhaustion after fits, initial runny nose and mild fever, bluish skin in infants"
West Nile virus,"fever, headache, body aches, skin rash on trunk, swollen lymph nodes, eye pain, fatigue, most mild, severe cases: stiff neck, disorientation, tremors, muscle weakness"
Wilson's disease,"fatigue, jaundice, fluid buildup in legs or abdomen, abdominal pain, Kayser-Fleischer rings in eyes, speech problems, difficulty swallowing, uncontrolled movements, personality changes, liver failure"
Warts,"small fleshy bumps on skin, rough texture, flat or raised, cluster of lesions, occasionally painful especially plantar warts, cauliflower-like surface, contagious"
Wolff-Parkinson-White syndrome,"rapid heartbeat, palpitations, dizziness, shortness of breath, chest pain, fainting, sudden cardiac arrest risk, symptoms triggered by exercise or caffeine"
Water retention,"swelling in legs ankles feet or hands, puffiness under eyes, bloating, weight gain from fluid, tight shoes or rings, skin that pits when pressed, abdominal distension"
Wheat allergy,"hives, itching, nasal congestion, difficulty breathing, headache, cramping, nausea, diarrhea, anaphylaxis in severe cases, reaction within hours of eating wheat"
Whiplash,"neck pain and stiffness, worsening pain with movement, loss of range of motion in neck, headaches at base of skull, tenderness in shoulder arms and upper back, fatigue, dizziness"
Wandering spleen,"intermittent abdominal pain, palpable abdominal mass that moves, nausea, vomiting, spleen torsion causing sudden severe pain, digestive discomfort"
Waldenstrom macroglobulinemia,"fatigue, anemia, bleeding from nose or gums, blurred or double vision, headache, numbness or tingling, dizziness, confusion, enlarged lymph nodes"
Xerostomia,"dry sticky feeling in mouth, frequent thirst, cracked lips and mouth corners, difficulty chewing or swallowing, altered or reduced sense of taste, dry throat, hoarseness, bad breath"
Xeroderma pigmentosum,"extreme UV sensitivity, severe sunburn after brief sun exposure, freckling in young children, skin cancers at young age, eye problems, neurological complications in some"
X-linked agammaglobulinemia,"frequent bacterial infections, chronic ear infections, recurring pneumonia, sinusitis, no tonsils or lymph nodes palpable, onset after maternal antibodies wane at 6 months"
Xerophthalmia,"dry eyes, night blindness, Bitot spots on conjunctiva, corneal ulcers, softening of cornea, corneal scarring, increased infection risk, poor wound healing"
Xanthomatosis,"yellowish cholesterol deposits under skin, xanthelasma on eyelids, tendon deposits, associated with high cholesterol, skin-colored to yellow bumps, painless, cardiovascular disease risk"
Xerosis,"dry skin, itching, scaling, cracking, tight feeling after bathing, rough texture, flaking, redness, worse in winter or low humidity, fine lines in skin"
X-linked lymphoproliferative disease,"immune deficiency, severe mononucleosis reaction, lymphoma, anemia, liver failure following EBV infection, fatal hemophagocytic syndrome"
Xerotic eczema,"extremely dry itchy skin, redness, scaling, fissuring, most common in elderly, worsened by low humidity, bathing in hot water, cracked bleeding skin"
Xanthogranuloma,"yellowish skin bumps usually harmless, firm nodules, often present at birth or early childhood, usually on head neck or trunk, rarely affects eyes"
Xerocytosis,"hemolytic anemia, jaundice, enlarged spleen, fatigue, pale skin, dark urine from red cell breakdown, dehydrated or stomatocytic red cells on blood smear"
Yellow fever,"sudden fever, severe headache, back and muscle pain, nausea, vomiting, fatigue, jaundice in severe toxic phase, bleeding from eyes or mouth in severe cases, liver and kidney failure"
Yersiniosis,"watery or bloody diarrhea, abdominal pain mimicking appendicitis, fever, joint pain, rash, vomiting, fatigue, right-sided abdominal pain, swollen lymph nodes in abdomen"
Yeast infection,"vaginal itching and burning, thick white discharge, redness and swelling of vulva, painful urination, pain during intercourse, rash, caused by Candida overgrowth"
Yawning syncope,"fainting after yawning, dizziness, brief loss of consciousness, vagal nerve trigger, brief black out, pallor, cold sweat before fainting"
Yips,"involuntary wrist spasms or twitching affecting golfers or other athletes during fine motor tasks, performance anxiety, focal dystonia, sudden jerking during putting"
Yolk sac tumor,"abdominal mass or pain, hormonal changes (elevated AFP), abdominal swelling, back pain, nausea, weight loss, occurs mainly in children and young adults"
Yusho disease,"skin lesions (chloracne), numbness and weakness in limbs, darkening of skin and nails, eye discharge, fatigue, caused by PCB poisoning"
Yersinia pestis,"sudden onset fever, painful swollen lymph nodes (buboes), chills, weakness, headache, can progress to septicemia or pneumonia (plague), transmitted by fleas from rodents"
Yawn-induced headache,"head pain triggered specifically by yawning, brief sharp or throbbing pain, pain at top or back of head, associated with primary headache disorders"
Young syndrome,"chronic sinusitis, recurrent respiratory infections, bronchiectasis, male infertility due to obstructive azoospermia, nasal polyps"
Zika virus,"mild fever, skin rash, joint pain, red eyes (conjunctivitis), headache, muscle pain, fatigue, symptoms lasting 2-7 days, often mild, severe risk in pregnancy"
Zollinger-Ellison syndrome,"severe abdominal pain, multiple peptic ulcers, chronic diarrhea, heartburn, nausea, vomiting blood, weight loss, poor nutrient absorption, ulcers unresponsive to standard treatment"
Zygomycosis,"fever, one-sided facial swelling, headache, nasal congestion, black lesions inside nose or on upper palate, sinus pain, vision problems, cough, black necrotic tissue, rapid spread"
Zinc deficiency,"hair loss, diarrhea, delayed wound healing, loss of taste and smell, poor appetite, weight loss, skin rashes, frequent infections, delayed growth, cognitive difficulties"
Zellweger syndrome,"poor muscle tone (hypotonia), feeding difficulties, seizures, liver dysfunction, abnormal facial features, vision and hearing loss, developmental failure"
Zoster sine herpete,"burning or stabbing nerve pain along a dermatome without visible rash, allodynia, fatigue, malaise, headache, dermatomal distribution, diagnosed by blood test or PCR"
Zygapophyseal joint dysfunction,"back pain, neck or lumbar stiffness, reduced spinal mobility, pain worsened by extension, tenderness over facet joints, referred pain to buttocks or shoulders"
Zieve's syndrome,"jaundice, hemolytic anemia, abdominal pain, nausea, vomiting, associated with heavy alcohol use and liver disease, elevated triglycerides"
Zoonosis,"fever, rash, respiratory symptoms, neurological changes, gastrointestinal symptoms, lymphadenopathy, joint pain, fatigue, varies by specific animal-borne pathogen"
Zenker's diverticulum,"difficulty swallowing, regurgitation of undigested food, bad breath, chronic cough, gurgling sound when swallowing, weight loss, aspiration risk, sensation of lump in throat"
OCD,"intrusive unwanted thoughts, repetitive behaviors or rituals, excessive cleaning or checking, counting or arranging compulsions, fear of contamination, significant anxiety, time-consuming rituals, avoidance"
Allergic rhinitis,"sneezing, runny nose, nasal congestion, itchy eyes, watery eyes, itchy throat, postnasal drip, reduced sense of smell, ear fullness, snoring"
Allergic skin reaction,"itchy skin, hives, rash, redness, swelling, contact dermatitis, eczema patches, blistering, scaling, warm skin"
Alzheimer's disease,"memory loss, confusion, disorientation, personality changes, language difficulty, poor judgment, mood swings, difficulty with familiar tasks, getting lost, suspiciousness"
Bulimia nervosa,"binge eating episodes, self-induced vomiting, misuse of laxatives, excessive exercise, swollen jaw or cheeks, tooth enamel erosion, calluses on knuckles, menstrual irregularities, electrolyte imbalance"
Diabetes Type 2,"increased thirst, frequent urination, increased hunger, fatigue, blurred vision, slow-healing sores, frequent infections, numbness in hands or feet, dark skin patches"
Diabetes Type 1,"extreme thirst, frequent urination, extreme hunger, unintended weight loss, irritability, blurred vision, fatigue, fruity-smelling breath, ketoacidosis risk"
Flu,"sudden high fever, severe muscle aches, chills, headache, dry cough, sore throat, runny nose, fatigue, loss of appetite, rapid onset"
Fungal skin infection,"circular rash with raised edges, skin peeling and itching, redness, scaling, blisters, nail discoloration, odor, cracking skin, central clearing of ring"
Guillain-Barré syndrome,"progressive weakness starting in legs moving upward, tingling in hands and feet, unsteady walking, difficulty with eye movement, facial weakness, difficulty swallowing, rapid heart rate"
Hepatitis B,"fatigue, nausea, vomiting, abdominal pain, joint pain, jaundice, dark urine, clay-colored stools, fever, loss of appetite, rash"
Hepatitis C,"fatigue, fever, nausea, muscle aches, joint pain, jaundice, dark urine, abdominal pain, loss of appetite, often asymptomatic for years"
Herpes simplex,"cold sores around lips, tingling before outbreak, blisters that burst and crust, mild fever, swollen lymph nodes, sore throat, headache"
Legionnaires disease,"high fever, chills, productive cough, shortness of breath, muscle aches, headache, diarrhea, nausea, confusion, chest pain, pneumonia presentation"
Myasthenia gravis,"drooping eyelids, double vision, weakness worsening with activity, slurred speech, difficulty swallowing, shortness of breath, facial muscle weakness, arm and leg weakness improving with rest"
PCOS,"irregular or absent periods, excess body hair (hirsutism), acne, weight gain, thinning scalp hair, skin darkening in body folds, difficulty getting pregnant, mood changes"
Hyperthyroidism,"unexplained weight loss, rapid heartbeat, increased appetite, nervousness, excessive sweating, heat sensitivity, frequent bowel movements, enlarged thyroid, muscle weakness, insomnia, fine hand tremor"
Yeast infection vaginal,"vaginal itching, burning, redness, thick white cottage cheese-like discharge, vulvar swelling, painful urination, pain during intercourse, rash around vagina"
Yeast infection oral,"white creamy patches on tongue and inner cheeks, redness or soreness inside mouth, difficulty swallowing if spreading, loss of taste, cotton-like feeling in mouth, cracking at corners"
